Nupr1.48h,Dppa3.48h,0.046570105
Mbd3.48h,Sap30.48h,0.046493828
Tcf3.48h,Foxc1.48h,0.046338355
Nr5a2.48h,Mybl2.48h,0.046237855
Zfp57.48h,Sub1.48h,0.046233553
Mybl2.48h,Msc.48h,0.046222408
Tgm2.48h,Esx1.24.72h.max,0.0461988
Mbd3.48h,Hoxa2.48h,0.045922524
Whsc2.48h,Tbx3.48h,0.045682232
Dmrt1.48h,Ascl1.24.72h.max,0.045215911
Sox9.48h,Dmrt1.48h,0.045020104
Ell2.48h,Cdyl2.48h,0.044672939
Mycn.48h,Suz12.48h,0.044667819
Esx1.24.72h.max,Tgm2.48h,0.044593883
Elf1.48h,Nr2f2.48h,0.044567133
Tbx5.48h,T.24.72h.max,0.044429148
MyoD1.48h,Foxl2.48h,0.044114501
Dppa5a.48h,Aes.48h,0.04405357
Nr0b1.48h,Atf3.48h,0.044013815
Gbx2.48h,Tcfap2c.48h,0.04363287
Nrip1.48h,Tcfcp2l1.48h,0.043573939
Nrip1.48h,Nr0b1.48h,0.043526101
Etv5.48h,Sirt3.48h,0.043363959
Fhl2.48h,Dedd2.48h,0.043048367
Ascl2.24.72h.max,Tcf4.48h,0.042974331
Cbx8.48h,Pou5f1.24.72h.max,0.04258519
Foxc1.48h,Foxl2.48h,0.042415326
T.24.72h.max,Tbx5.48h,0.042266711
Pou5f1.24.72h.max,Nrip1.48h,0.042207826
Hoxa9.48h,Dlx3.48h,0.04215516
Foxc1.48h,Foxa1.48h,0.041852935
Ctbp2.48h,Rest.48h,0.041698142
Id1.48h,Tcf4.48h,0.041379299
Lass2.48h,Dedd2.48h,0.041347589
Dppa5a.48h,Cbx8.48h,0.041203268
Gata3.24.72h.max,Lhx2.48h,0.041034788
Jun.48h,Fosl2.48h,0.040780886
Dppa5a.48h,Tcea3.48h,0.040399543
Esx1.24.72h.max,Klf4.24.72h.max,0.040361652
Hoxa2.48h,Pdlim1.48h,0.040347737
Etv5.48h,Cbx8.48h,0.040221728
Sub1.48h,Fgfbp1.48h,0.039990603
Dmrt1.48h,Nkx2.5.48h,0.039983055
Nr2f2.48h,Elf1.48h,0.039644755
Lass2.48h,X4932441K18Rik.48h,0.039514878
Nr0b1.48h,Nrip1.48h,0.03902666
Foxp3.48h,Esx1.24.72h.max,0.03881437
Smad1.48h,Dnmt3b.48h,0.038618464
Hmga2.48h,Tgif1.48h,0.038474993
Nrip1.48h,Zic1.48h,0.038465127
Foxl2.48h,MyoD1.48h,0.038411135
Dedd2.48h,Lass2.48h,0.038409788
Atf3.48h,Nr0b1.48h,0.038307142
Tcf3.48h,Klf4.24.72h.max,0.038205938
Grhl2.48h,Eomes.48h,0.038173744
Stat3.48h,Ctnnb1.48h,0.038069275
Cdx2.24.72h.max,Eomes.48h,0.037981954
Atf3.48h,Nr5a2.48h,0.037971518
Msc.48h,Mybl2.48h,0.037848555
Tgm2.48h,Dedd2.48h,0.037784626
Eomes.48h,Nkx2.5.48h,0.037734305
Tcf3.48h,Foxg1.48h,0.037698735
Ankrd22.48h,Nupr1.48h,0.037696938
Jun.48h,Klf4.24.72h.max,0.037635339
Aes.48h,Smad4.48h,0.037627174
Dmrt1.48h,Cdx2.24.72h.max,0.037579996
Hoxa2.48h,Mbd3.48h,0.03738874
Hmga2.48h,Fbxo15.48h,0.037346139
Esx1.24.72h.max,Nkx2.5.48h,0.03732321
Rhox6.48h,Tuba1a.48h,0.037308915
Sfrs6.48h,Id3.48h,0.03728666
Dlx3.48h,Lhx2.48h,0.037165868
Jarid1a.48h,Inppl1.48h,0.037110476
Smad4.48h,Cdx2.24.72h.max,0.037094161
Ctbp2.48h,Id1.48h,0.037093264
Etv1.48h,Cdyl2.48h,0.03705886
Tgif1.48h,Hmga2.48h,0.037058711
Fgfbp1.48h,Sub1.48h,0.037046836
Cbx8.48h,Dppa5a.48h,0.037038933
Lass2.48h,Sub1.48h,0.036622375
Etv5.48h,Nr5a2.48h,0.036615629
Cdx2.24.72h.max,Tuba1a.48h,0.036547103
Mycn.48h,Tuba1a.48h,0.036523996
Msc.48h,Nr5a2.48h,0.036106073
Hoxa9.48h,Rxra.48h,0.035966148
Tgif1.48h,Hsf2bp.48h,0.035966105
Mbd3.48h,Meis2.48h,0.035931836
Tcf4.48h,Ascl1.24.72h.max,0.035764609
Foxl2.48h,Jun.48h,0.035731112
Atxn1.48h,Smad6.48h,0.035610085
Suz12.48h,Eed.48h,0.035572205
Gata2.48h,Nkx2.5.48h,0.035490147
Pou5f1.24.72h.max,Cbx8.48h,0.035449474
Foxj2.48h,Whsc2.48h,0.035377987
Mettl5.48h,Dnmt3b.48h,0.03533962
Mbd3.48h,Tcfcp2l1.48h,0.035320221
Esx1.24.72h.max,Foxl2.48h,0.035272566
Tuba1a.48h,Suz12.48h,0.035083075
Pdlim1.48h,Cdyl2.48h,0.03505532
Id1.48h,Tuba1a.48h,0.034941685
